zone,feature_set,fold,dataset_split,sample,model,rmse,mae,r2
NO_5,autoregressive,fold_1,validation,all,lgbm,3.1328477183680254,1.6918649315902399,0.9290345842163714
NO_5,autoregressive,fold_1,validation,all,xgb,3.196330949253623,1.722624994301291,0.9261293940978925
NO_5,autoregressive,fold_2,validation,all,lgbm,13.491608713476166,4.584789048762398,0.7938546990216808
NO_5,autoregressive,fold_2,validation,all,xgb,13.94160305166572,4.491477626307692,0.7798739747467726
NO_5,autoregressive,fold_2,validation,spike_hours,lgbm,69.367692166523,47.05137047170991,-0.3461616136100607
NO_5,autoregressive,fold_2,validation,spike_hours,xgb,71.19289905946523,46.55247291564941,-0.4179341651534525
NO_5,autoregressive,fold_3,validation,all,lgbm,14.212189147243306,6.517478367116364,0.8123025027040294
NO_5,autoregressive,fold_3,validation,all,xgb,12.798652362380052,6.227114777611383,0.8477823509563852
NO_5,autoregressive,fold_3,validation,spike_hours,lgbm,34.31617249191864,22.064336116397982,-0.33038876373155435
NO_5,autoregressive,fold_3,validation,spike_hours,xgb,34.20041012106111,21.14666774925819,-0.3214280213793681
NO_5,autoregressive,fold_4,validation,all,lgbm,6.069157613246842,3.593076795713164,0.8389007514386149
NO_5,autoregressive,fold_4,validation,all,xgb,6.005449887729992,3.5730050303013274,0.8422651063594301
NO_5,autoregressive,fold_4,validation,spike_hours,lgbm,34.13613158460612,28.770913432102827,-18.49520199417618
NO_5,autoregressive,fold_4,validation,spike_hours,xgb,33.57335775484686,28.465911590576173,-17.857698508846433
NO_5,exogenous,final_test,test,all,lgbm,25.647312499031447,20.757178910916306,0.2768539098951318
NO_5,exogenous,final_test,test,all,xgb,24.427978614045976,19.989282398966775,0.343979550149603
NO_5,exogenous,final_test,test,spike_hours,lgbm,97.9754616462926,91.19841522961647,-5.483697101798959
NO_5,exogenous,final_test,test,spike_hours,xgb,88.65926718205813,80.96866915503215,-4.309288871376179
NO_5,exogenous,fold_1,validation,all,lgbm,23.401618425301244,19.0013420806014,-2.9596788933715277
NO_5,exogenous,fold_1,validation,all,xgb,25.05562251007581,20.79447550876417,-3.5391922387546
NO_5,exogenous,fold_2,validation,all,lgbm,40.130959416021774,33.66559484256362,-0.8239169125765899
NO_5,exogenous,fold_2,validation,all,xgb,39.82274282648864,33.55610459759615,-0.7960081517209825
NO_5,exogenous,fold_2,validation,spike_hours,lgbm,86.39402274955381,67.32445824940609,-1.0880942781268579
NO_5,exogenous,fold_2,validation,spike_hours,xgb,83.73369030640201,64.33444558363693,-0.9614767924514631
NO_5,exogenous,fold_3,validation,all,lgbm,28.765860360511688,22.264972338565084,0.2310621126559772
NO_5,exogenous,fold_3,validation,all,xgb,28.681693551583074,22.553136760540283,0.23555524206877498
NO_5,exogenous,fold_3,validation,spike_hours,lgbm,78.03551776486053,71.76965234098562,-5.879636887322131
NO_5,exogenous,fold_3,validation,spike_hours,xgb,75.85170268420323,69.55472038621168,-5.499972991306177
NO_5,exogenous,fold_4,validation,all,lgbm,16.73063407055568,13.511485790235373,-0.22422567523323655
NO_5,exogenous,fold_4,validation,all,xgb,18.677510015722035,15.661635756527549,-0.5257192947169504
NO_5,exogenous,fold_4,validation,spike_hours,lgbm,69.69827795547252,69.08413998166748,-80.27242672906004
NO_5,exogenous,fold_4,validation,spike_hours,xgb,69.31069173245129,68.78621606445313,-79.37104181070012
NO_5,full,final_test,test,all,lgbm,7.963573591671572,4.4085703700659025,0.9302798503003521
NO_5,full,final_test,test,all,xgb,8.570557735229048,5.3237624860336945,0.9192466616434498
NO_5,full,final_test,test,spike_hours,lgbm,39.092064136114274,29.165685758952932,-0.032203401798100995
NO_5,full,final_test,test,spike_hours,xgb,37.65808340544057,29.40988462581191,0.04213455415713896
NO_5,full,fold_1,validation,all,lgbm,3.299281581533223,2.043389070661312,0.9212941621697214
NO_5,full,fold_1,validation,all,xgb,3.4574229608434206,2.1306919519443643,0.9135682701826422
NO_5,full,fold_2,validation,all,lgbm,12.617488739365422,4.588098018648658,0.8197016231929548
NO_5,full,fold_2,validation,all,xgb,13.188725304152467,5.183040405771581,0.803006629506959
NO_5,full,fold_2,validation,spike_hours,lgbm,64.42145112901007,38.85789511174604,-0.16103073615852215
NO_5,full,fold_2,validation,spike_hours,xgb,65.30086139186737,38.666852871821476,-0.19294530062930382
NO_5,full,fold_3,validation,all,lgbm,12.451542152272614,6.164707632459012,0.8559269299682848
NO_5,full,fold_3,validation,all,xgb,12.73812069601226,6.129009054757313,0.8492187832854372
NO_5,full,fold_3,validation,spike_hours,lgbm,33.74621478590099,20.20576286866561,-0.2865628790550221
NO_5,full,fold_3,validation,spike_hours,xgb,34.01509340920377,20.73485796767015,-0.30714636568209075
NO_5,full,fold_4,validation,all,lgbm,6.422976782644472,4.0238576276599805,0.8195697350461251
NO_5,full,fold_4,validation,all,xgb,6.9661755070834825,4.594338579447497,0.7877608457034743
NO_5,full,fold_4,validation,spike_hours,lgbm,30.514044741413066,22.627442619210633,-14.577533320063432
NO_5,full,fold_4,validation,spike_hours,xgb,32.18346979670387,23.638748260498044,-16.328655236658147
